,turtle.id,year,field,field.type,mean.duration
1,L153,2017,Mexico,rewarded field,58.71
2,L153,2017,"New Hampshire, USA",unrewarded field,10.27
3,L154,2017,"New Hampshire, USA",unrewarded field,9.01
4,L154,2017,Mexico,rewarded field,35.28
5,L155,2017,"New Hampshire, USA",rewarded field,72.63
6,L155,2017,Mexico,unrewarded field,38.89
7,L156,2017,Mexico,rewarded field,151.76
8,L156,2017,"New Hampshire, USA",unrewarded field,29.82
9,L157,2017,Mexico,unrewarded field,20.41
10,L157,2017,"New Hampshire, USA",rewarded field,22.53
11,L158,2017,"New Hampshire, USA",rewarded field,58.91
12,L158,2017,Mexico,unrewarded field,12.11
13,L159,2017,"New Hampshire, USA",unrewarded field,2.4
14,L159,2017,Mexico,rewarded field,41.24
15,L160,2017,Mexico,unrewarded field,16.67
16,L160,2017,"New Hampshire, USA",rewarded field,55.48
17,L161,2017,Mexico,rewarded field,52.49
18,L161,2017,"New Hampshire, USA",unrewarded field,16.11
19,L162,2017,"New Hampshire, USA",unrewarded field,1.4
20,L162,2017,Mexico,rewarded field,24.65
21,L163,2017,"New Hampshire, USA",rewarded field,63.06
22,L163,2017,Mexico,unrewarded field,91
23,L164,2017,Mexico,unrewarded field,3.76
24,L164,2017,"New Hampshire, USA",rewarded field,41.99
25,L165,2017,Mexico,rewarded field,20.02
26,L165,2017,"New Hampshire, USA",unrewarded field,0.13
27,L166,2017,"New Hampshire, USA",rewarded field,64.61
28,L166,2017,Mexico,unrewarded field,6.21
29,L167,2017,"New Hampshire, USA",unrewarded field,66.25
30,L167,2017,Mexico,rewarded field,186.59
31,L168,2017,Mexico,unrewarded field,25.58
32,L168,2017,"New Hampshire, USA",rewarded field,49.25
33,L169,2018,Cuba,rewarded field,51.79
34,L169,2018,"Delaware, USA",unrewarded field,0.4
35,L170,2018,"Delaware, USA",rewarded field,17.85
36,L170,2018,Cuba,unrewarded field,4.9
37,L171,2018,Cuba,rewarded field,34.28
38,L171,2018,"Delaware, USA",unrewarded field,18.81
39,L172,2018,Cuba,rewarded field,56.91
40,L172,2018,"Delaware, USA",unrewarded field,6.91
41,L173,2018,Cuba,unrewarded field,9.86
42,L173,2018,"Delaware, USA",rewarded field,493.93
43,L174,2018,"Delaware, USA",rewarded field,42.54
44,L174,2018,Cuba,unrewarded field,26.38
45,L175,2018,"Delaware, USA",unrewarded field,30.03
46,L175,2018,Cuba,rewarded field,34.83
47,L176,2018,Cuba,unrewarded field,26.66
48,L176,2018,"Delaware, USA",rewarded field,22.52
49,L177,2018,"Delaware, USA",rewarded field,138.49
50,L177,2018,Cuba,unrewarded field,11.06
51,L178,2018,Cuba,rewarded field,127.03
52,L178,2018,"Delaware, USA",unrewarded field,48.2
53,L179,2018,Cuba,unrewarded field,12.22
54,L179,2018,"Delaware, USA",rewarded field,18.17
55,L180,2018,"Delaware, USA",unrewarded field,12.01
56,L180,2018,Cuba,rewarded field,366.61
57,L181,2018,Cuba,rewarded field,16.36
58,L181,2018,"Delaware, USA",unrewarded field,7.91
59,L182,2018,Cuba,rewarded field,44.71
60,L182,2018,"Delaware, USA",unrewarded field,7.41
61,L183,2018,"Delaware, USA",rewarded field,72.82
62,L183,2018,Cuba,unrewarded field,43.44
63,L184,2018,Cuba,unrewarded field,12.06
64,L184,2018,"Delaware, USA",rewarded field,54.9
65,L185,2019,"Florida, USA",unrewarded field,1.51
66,L185,2019,"Maine, USA",rewarded field,39.01
67,L185,2020_spr,"Newfoundland, Canada",rewarded field,27.12
68,L185,2020_spr,"Virginia, USA",unrewarded field,14.07
69,L186,2019,"Florida, USA",unrewarded field,22.83
70,L186,2019,"Maine, USA",rewarded field,33.78
71,L186,2020_spr,"Virginia, USA",rewarded field,20
72,L186,2020_spr,"Newfoundland, Canada",unrewarded field,6
73,L187,2019,"Maine, USA",rewarded field,46.41
74,L187,2019,"Florida, USA",unrewarded field,30.07
75,L187,2020_spr,"Virginia, USA",rewarded field,28.68
76,L187,2020_spr,"Newfoundland, Canada",unrewarded field,18.74
77,L188,2019,"Maine, USA",rewarded field,26.65
78,L188,2019,"Florida, USA",unrewarded field,10.92
79,L188,2020_spr,"Newfoundland, Canada",rewarded field,15.37
80,L188,2020_spr,"Virginia, USA",unrewarded field,16.71
81,L189,2019,"Florida, USA",unrewarded field,14.19
82,L189,2019,"Maine, USA",rewarded field,10.75
83,L189,2020_spr,"Virginia, USA",unrewarded field,22.11
84,L189,2020_spr,"Newfoundland, Canada",rewarded field,35.99
85,L190,2019,"Florida, USA",unrewarded field,8.27
